name,type,adjCount
@azure/amqp-common,library,23
@azure/event-hubs,library,16
@azure/ms-rest-azure-env,library,8
@azure/ms-rest-js,library,20
@azure/ms-rest-nodeauth,library,13
adal-node,library,13
are-we-there-yet,library,5
argparse,library,4
big-number,library,3
bl,library,5
body-parser,library,13
concat-stream,library,9
debug,library,33
depd,library,9
duplexer2,library,6
express-session,library,12
express,library,34
generic-pool,library,4
grunt,library,22
http-errors,library,12
iconv-lite,library,9
inherits,library,8
morgan,library,7
mssql,library,8
mysql2,library,12
mysql,library,9
native-duplexpair,library,3
needle,library,6
punycode,library,7
raw-body,library,8
readable-stream,library,19
safer-buffer,library,5
send,library,17
sprintf-js,library,5
static-module,library,54
stream-browserify,library,42
string_decoder,library,8
tedious,library,18
through2,library,8
tough-cookie,library,9
underscore.string,library,8
uri-js,library,4
url,library,6
util-deprecate,library,4
