name,type,adjCount
@azure/amqp-common,library,0
@azure/event-hubs,library,0
@azure/ms-rest-azure-env,library,0
@azure/ms-rest-js,library,0
@azure/ms-rest-nodeauth,library,6
adal-node,library,0
are-we-there-yet,library,0
argparse,library,0
big-number,library,1
bl,library,2
body-parser,library,0
concat-stream,library,0
debug,library,0
depd,library,7
duplexer2,library,0
express-session,library,0
express,library,0
generic-pool,library,0
grunt,library,0
http-errors,library,0
iconv-lite,library,7
inherits,library,0
morgan,library,0
mssql,library,3
mysql2,library,0
mysql,library,0
native-duplexpair,library,1
needle,library,0
punycode,library,4
raw-body,library,0
readable-stream,library,12
safer-buffer,library,0
send,library,0
sprintf-js,library,3
static-module,library,0
stream-browserify,library,0
string_decoder,library,0
tedious,library,10
through2,library,0
tough-cookie,library,0
underscore.string,library,0
uri-js,library,0
url,library,0
util-deprecate,library,0
